sim/none/none                                      Do nothing at all!
sim/electrical/inverter_2_toggle                   Inverter_2 toggle.
sim/electrical/cross_tie_on                        Cross-tie on.
sim/electrical/cross_tie_off                       Cross-tie off.
sim/electrical/cross_tie_toggle                    Cross-tie toggle.
sim/electrical/battery_1_on                        Battery 1 on.
sim/electrical/battery_1_off                       Battery 2 off.
sim/electrical/battery_2_on                        Battery 1 on.
sim/electrical/battery_2_off                       Battery 2 off.
sim/electrical/batteries_toggle                    Batteries all toggle.
sim/electrical/generators_toggle                   Generators all toggle.
sim/electrical/APU_on                              APU on.
sim/electrical/APU_off                             APU off.
sim/electrical/APU_start                           APU start.
sim/electrical/GPU_on                              GPU on.
sim/electrical/GPU_off                             GPU off.
sim/electrical/GPU_toggle                          GPU toggle.
sim/systems/avionics_on                            Avionics on.
sim/systems/avionics_off                           Avionics off.
sim/systems/avionics_toggle                        Avionics toggle.
sim/systems/yaw_damper_on                          Yaw-damp on.
sim/systems/yaw_damper_off                         Yaw-damp off.
sim/systems/yaw_damper_toggle                      Yaw-damp toggle.
sim/systems/prop_sync_on                           Prop sync on.
sim/systems/prop_sync_off                          Prop sync off.
sim/systems/prop_sync_toggle                       Prop sync toggle.
sim/systems/feather_mode_off                       Auto-feather off.
sim/systems/feather_mode_arm                       Auto-feather on.
sim/systems/feather_mode_test                      Auto-feather test.
sim/systems/overspeed_test                         Prop overspeed-test.
sim/systems/artificial_stability_toggle            Toggle art-stab power.
sim/systems/pre_rotate_toggle                      Toggle pre-rotate.
sim/systems/total_energy_audio_toggle              Toggle total-energy audio.
sim/bleed_air/bleed_air_left                       Bleed air from left engine.
sim/bleed_air/bleed_air_auto                       Bleed air from either engine.
sim/bleed_air/bleed_air_right                      Bleed air from right engine.
sim/bleed_air/bleed_air_off                        Bleed air off.
sim/bleed_air/bleed_air_left_on                    Bleed air left-engine on.
sim/bleed_air/bleed_air_left_ins_only              Bleed air left-engine instruments only.
sim/bleed_air/bleed_air_left_off                   Bleed air left-engine off.
sim/bleed_air/bleed_air_right_on                   Bleed air right-engine on.
sim/bleed_air/bleed_air_right_ins_only             Bleed air right-engine instruments only.
sim/bleed_air/bleed_air_right_off                  Bleed air right-engine off.
sim/pressurization/dump_on                         Dump pressurization on!
sim/pressurization/dump_off                        Dump pressurization off!
sim/pressurization/vvi_down                        Cabin vertical speed down.
sim/pressurization/vvi_up                          Cabin vertical speed up.
sim/pressurization/cabin_alt_down                  Cabin altitude down.
sim/pressurization/cabin_alt_up                    Cabin altitude up.
sim/pressurization/test                            Pressurization test.
sim/ice/alternate_static_port                      Toggle alternate static port.
sim/ice/anti_ice_toggle                            Anti-ice: toggle-ALL.
sim/ice/inlet_heat0_on                             Anti-ice: LEFT inlet-heat on.
